time,x
0,636
628,628
1248,620
1880,632
2512,632
3148,636
3776,628
4400,624
5028,628
5664,636
6336,672
6912,576
7536,624
8168,632
8800,632
9424,624
10056,632
10684,628
11328,644
11968,640
12600,632
13236,636
13864,628
14500,636
15132,632
15756,624
16380,624
17012,632
17644,632
18900,1256
19532,632
20164,632
20800,636
21428,628
22056,628
22736,680
23320,584
23944,624
24568,624
25248,680
25824,576
26456,632
27084,628
27712,628
28344,632
28972,628
29252,280
29612,360
30248,636
30876,628
31252,376
31556,304
32140,584
32252,112
32772,520
33252,480
33400,148
34024,624
34256,232
34640,384
35908,1268
36252,344
36536,284
37216,680
37796,580
38432,636
39064,632
40256,1192
40368,112
40956,588
41584,628
42208,624
42832,624
43456,624
44088,632
44708,620
46260,1552
46584,324
47208,624
47836,628
48464,628
49100,636
49260,160
49724,464
50356,632
50984,628
51260,276
51608,348
52252,644
52876,624
53260,384
53512,252
54264,752
54788,524
55420,632
56052,632
56268,216
56680,412
57944,1264
59192,1248
59820,628
60448,628
61068,620
61692,624
62368,676
62952,584
63268,316
63584,316
64212,628
64840,628
65268,428
65476,208
66164,688
66744,580
67268,524
67380,112
68016,636
68652,636
69932,1280
70272,340
70568,296
71200,632
71832,632
72468,636
73728,1260
74364,636
75000,636
75272,272
75628,356
76260,632
76892,632
77276,384
77528,252
78156,628
78788,632
79420,632
80056,636
80692,636
81376,684
81960,584
82604,644
83244,640
83884,640
84520,636
85156,636
85788,632
86416,628
87044,628
87276,232
87676,400
88936,1260
89280,344
89608,328
90184,576
