time,x,y
0,632,0
628,628,0
1260,632,0
1888,628,0
2524,636,0
3156,632,0
3792,636,0
4424,632,0
5056,632,0
5688,632,0
6316,628,0
6940,624,0
7564,624,0
8188,624,0
8812,624,0
9432,620,0
10052,620,0
10668,616,0
11288,620,0
11904,616,0
12524,620,0
13136,612,0
13744,608,0
14356,612,0
14976,620,0
15592,616,0
16212,620,0
16836,624,0
17460,624,0
18088,628,0
18720,632,0
19344,624,1
19976,632,1
20604,628,1
21236,632,1
21924,688,1
22504,580,1
23144,640,1
23776,632,1
24464,688,1
25048,584,1
25684,636,1
26328,644,1
26972,644,0
27616,644,0
28268,652,0
28912,644,0
29560,648,0
30220,660,1
30876,656,1
31532,656,1
32188,656,1
32892,704,1
33492,600,1
34152,660,1
34808,656,1
35460,652,1
36116,656,1
36764,648,1
37460,696,1
38056,596,1
38704,648,1
39344,640,1
39992,648,1
40636,644,1
41280,644,0
41932,652,0
42596,664,0
43252,656,0
