time,x,y
0,576,0
576,576,0
1156,580,0
1736,580,0
2312,576,0
2896,584,0
3468,572,0
4040,572,0
4620,580,0
5196,576,0
5764,568,0
6344,580,0
6916,572,0
7492,576,0
8064,572,0
8640,576,0
9212,572,0
9784,572,1
10360,576,1
10940,580,1
11516,576,1
12088,572,1
12664,576,1
13304,640,1
13828,524,1
14408,580,1
14996,588,1
15572,576,1
16148,576,1
16728,580,0
17304,576,0
17876,572,0
18452,576,0
19028,576,0
19600,572,0
20172,572,0
20744,572,1
21316,572,1
21888,572,1
22456,568,1
23080,624,1
23604,524,1
24172,568,1
24748,576,1
25324,576,1
25896,572,1
26476,580,1
27052,576,1
27628,576,0
28200,572,0
28780,580,0
29356,576,0
29932,576,0
30516,584,0
31092,576,0
31664,572,0
32240,576,0
32836,596,0
33412,576,0
34572,1160,0
35152,580,0
35728,576,0
36304,576,0
36876,572,0
37444,568,0
38020,576,0
38588,568,0
39160,572,0
39736,576,0
40308,572,0
40884,576,0
41464,580,0
42044,580,0
42620,576,0
43200,580,0
43780,580,0
44360,580,1
44944,584,1
45524,580,1
46104,580,1
46684,580,1
47324,640,1
47856,532,1
48440,584,1
49020,580,1
49596,576,1
50176,580,1
50756,580,1
51332,576,0
51916,584,0
52500,584,0
53076,576,0
53648,572,0
54224,576,0
54800,576,0
55368,568,0
55944,576,0
56520,576,0
57088,568,0
57664,576,0
58244,580,0
58808,564,0
59380,572,0
59944,564,0
60512,568,0
61084,572,0
61648,564,0
62212,564,1
62780,568,1
63348,568,1
63912,564,1
64476,564,1
65048,572,1
65608,560,1
66172,564,1
66732,560,1
67348,616,1
67864,516,1
68428,564,1
68988,560,1
69552,564,1
70116,564,0
70684,568,0
71248,564,0
71820,572,0
72392,572,0
72956,564,0
73532,576,0
